x,y,z,
1.23079,1.18975,0.000684236,
1.22913,1.18374,0.000990198,
1.22746,1.17773,0.00114233,
1.2258,1.17172,0.00113971,
1.22414,1.16571,0.00113707,
1.22248,1.1597,0.00113444,
1.22081,1.15369,0.00113183,
1.21915,1.14768,0.00112921,
1.21749,1.14167,0.0011266,
1.21583,1.13566,0.00112398,
1.21416,1.12966,0.00112135,
1.2125,1.12365,0.00111873,
1.21084,1.11764,0.00111611,
1.20918,1.11163,0.00111348,
1.20752,1.10562,0.00111086,
1.20585,1.09961,0.00110824,
1.20419,1.0936,0.00110563,
1.20253,1.08759,0.00110301,
1.20087,1.08158,0.00110039,
1.1992,1.07557,0.00109778,
1.19754,1.06956,0.00109516,
1.19588,1.06355,0.00109254,
1.19422,1.05754,0.00108992,
1.19255,1.05153,0.0010873,
1.19089,1.04552,0.00108469,
1.18923,1.03951,0.00108207,
1.18757,1.0335,0.00107945,
1.1859,1.02749,0.00107684,
1.18424,1.02148,0.00107422,
1.18258,1.01547,0.00107161,
1.18092,1.00946,0.00106899,
1.17925,1.00345,0.00106635,
1.17759,0.997444,0.00106372,
1.17593,0.991435,0.00106109,
1.17427,0.985425,0.00105846,
1.1726,0.979416,0.00105582,
1.17094,0.973406,0.00105319,
1.16928,0.967397,0.00105056,
1.16762,0.961387,0.00104792,
1.16595,0.955377,0.00104509,
1.16429,0.949368,0.00104209,
1.16263,0.943358,0.00103908,
1.16097,0.937349,0.00103608,
1.15931,0.931339,0.00103308,
1.15764,0.92533,0.00103008,
1.15598,0.91932,0.00102708,
1.15432,0.91331,0.00102408,
1.15266,0.907301,0.00102104,
1.15099,0.901291,0.00101789,
1.14933,0.895282,0.00101474,
1.14767,0.889272,0.00101159,
1.14601,0.883263,0.00100842,
1.14434,0.877253,0.00100525,
1.14268,0.871243,0.00100208,
1.14102,0.865234,0.000998911,
1.13936,0.859224,0.000995741,
1.13769,0.853215,0.00099257,
1.13603,0.847205,0.0009894,
1.13437,0.841196,0.000986229,
